Variable,n,nmiss,n_pct,nmiss_pct,Definition,dev_category,API_data_type
UNITID,6331,0,1,0,Unit ID for institution,root,integer
OPEID,6331,0,1,0,8-digit OPE ID for institution,root,string
OPEID6,6331,0,1,0,6-digit OPE ID for institution,root,string
INSTNM,6331,0,1,0,Institution name,school,autocomplete
CITY,6331,0,1,0,City,school,autocomplete
STABBR,6331,0,1,0,State postcode,school,string
ZIP,6331,0,1,0,ZIP code,school,string
ACCREDAGENCY,6029,302,0.952298215,0.047701785,Accreditor for institution,school,string
INSTURL,6328,3,0.999526141,4.74E-04,URL for institution's homepage,school,string
NPCURL,6277,54,0.991470542,0.008529458,URL for institution's net price calculator,school,string
HCM2,6331,0,1,0,Schools that are on Heightened Cash Monitoring 2 by the Department of Education,school,integer
MAIN,6331,0,1,0,Flag for main campus,school,integer
NUMBRANCH,6331,0,1,0,Number of branch campuses,school,integer
PREDDEG,6331,0,1,0,"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting",school,integer
HIGHDEG,6331,0,1,0,"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree",school,integer
CONTROL,6331,0,1,0,Control of institution,school,integer
ST_FIPS,6331,0,1,0,FIPS code for state,school,integer
REGION,6331,0,1,0,Region (IPEDS),school,integer
LOCALE,6331,0,1,0,Locale of institution,school,integer
LATITUDE,6331,0,1,0,Latitude,root,float
LONGITUDE,6331,0,1,0,Longitude,root,float
CCBASIC,6331,0,1,0,Carnegie Classification -- basic,school,integer
CCUGPROF,6331,0,1,0,Carnegie Classification -- undergraduate profile,school,integer
CCSIZSET,6331,0,1,0,Carnegie Classification -- size and setting,school,integer
HBCU,6323,8,0.998736377,0.001263623,Flag for Historically Black College and University,school,integer
PBI,6323,8,0.998736377,0.001263623,Flag for predominantly black institution,school,integer
ANNHI,6323,8,0.998736377,0.001263623,Flag for Alaska Native Native Hawaiian serving institution,school,integer
TRIBAL,6323,8,0.998736377,0.001263623,Flag for tribal college and university,school,integer
AANAPII,6323,8,0.998736377,0.001263623,Flag for Asian American Native American Pacific Islander-serving institution,school,integer
HSI,6323,8,0.998736377,0.001263623,Flag for Hispanic-serving institution,school,integer
NANTI,6323,8,0.998736377,0.001263623,Flag for Native American non-tribal institution,school,integer
MENONLY,6331,0,1,0,Flag for men-only college,school,integer
WOMENONLY,6331,0,1,0,Flag for women-only college,school,integer
RELAFFIL,911,5420,0.143895119,0.856104881,Religous affiliation of the institution,school,integer
ADM_RATE,2006,4325,0.316853578,0.683146422,Admission rate,admissions,float
ADM_RATE_ALL,2110,4221,0.333280682,0.666719318,Admission rate for all campuses rolled up to the 6-digit OPE ID,admissions,float
SATVR25,1239,5092,0.19570368,0.80429632,25th percentile of SAT scores at the institution (critical reading),admissions,float
SATVR75,1239,5092,0.19570368,0.80429632,75th percentile of SAT scores at the institution (critical reading),admissions,float
SATMT25,1242,5089,0.196177539,0.803822461,25th percentile of SAT scores at the institution (math),admissions,float
SATMT75,1242,5089,0.196177539,0.803822461,75th percentile of SAT scores at the institution (math),admissions,float
